	Sz	hEndo	hPeric	hMgl	hOPC	hRgl2c	hRgl2b	hRgl2a	hRgl3	hRgl1	hProgM	hProgBP	hProgFPL	hProgFPM	hNProg	hNbM	hNbML1	hRN	hNbML5	hDA0	hDA1	hDA2	hNbGaba	hGaba	hSert	hOMTN
ABHD8	0.0446	0.0825	0.0817	0.0668	0.0786	0.185	0.0508	0.1146	0.2223	0.1317	0.0551	0.0415	0.0802	0.0495	0.0361	0.0963	0.0659	0.0586	0.0469	0.1487	0.0495	0.164	0.0561	0.0395	0.142	0.0966
ABI1	0.8557	0.8359	0.6324	0.6399	0.616	0.5699	0.4834	1.0463	0.9853	0.6146	0.6047	0.4511	0.6506	0.4657	0.4149	0.4428	0.4619	0.3934	0.5013	0.3181	0.6296	0.5675	0.5493	0.455	0.8745	0.5802
ABI2	1.9339	1.251	1.0693	0.9991	1.2182	1.5709	1.124	1.5753	1.3713	1.5366	1.1573	1.0853	1.4296	0.9118	0.7366	1.0233	0.9703	1.5126	1.0918	0.8648	1.5963	1.4603	1.0981	1.0706	1.5931	1.2489
ABI3	0.1253	4.3836	2.8094	11.2374	0.4936	0.52	0.3738	0.4579	0.4635	0.4666	0.3895	0.3038	0.4251	0.3531	0.3298	0.347	0.422	0.463	0.4092	0.4028	1.234	0.4294	0.5278	0.365	0.6208	0.3694
ABI3BP	0.4886	0.9905	1.3569	0.988	0.9844	1.0032	0.8523	0.8441	1.0162	1.0156	0.9341	0.8092	2.3414	0.8475	0.7825	0.8347	0.936	0.8835	0.8169	7.07	1.0158	0.915	0.9739	0.8177	1.2545	0.9249
ABL1	0.4903	0.511	0.3107	0.3018	0.5177	0.4001	0.2856	0.3832	0.3879	0.4453	0.3535	0.2625	0.5416	0.2616	0.2266	0.3185	0.3752	0.311	0.2848	0.2176	0.3499	0.3737	0.462	0.381	0.4549	0.3385
ABL2	0.2841	0.5305	0.2059	0.382	0.2235	0.3487	0.1665	0.2429	0.2243	0.2941	0.3491	0.1877	0.3175	0.168	0.177	0.3913	0.2277	0.3154	0.2087	0.2436	0.4506	0.2732	0.3408	0.3776	0.5973	0.3787
ABLIM1	0.4948	4.9294	0.2919	0.3206	0.6365	0.4046	0.3839	0.3237	0.409	0.9569	0.3829	0.4868	0.6321	0.4431	0.3226	0.3541	0.4774	0.7053	0.3802	0.3174	0.6679	0.3414	0.9668	0.3699	2.2667	2.4148
ABLIM2	0.0116	0.0554	0.1384	0.205	0.1351	0.0443	0.0357	0.0831	0.1124	0.0345	0.0228	0.0166	0.0515	0.0203	0.0242	0.0182	0.0772	0.0306	0.122	0.0508	0.2403	0.0602	0.1063	0.1446	0.283	0.1586
ABLIM3	0.0071	0.6128	0.0549	0.0404	0.0701	0.0342	0.0667	0.0256	0.0353	0.0707	0.0173	0.0337	0.0201	0.0143	0.052	0.013	0.0747	0.0693	0.1359	0.0616	0.1978	0.1577	0.2559	0.2131	0.2136	0.1171
ABO	1.1671	2.7004	1.9946	1.5126	1.5597	1.5283	1.2467	2.1588	1.6223	1.4411	1.4362	1.3283	1.5519	1.2664	1.1292	1.2243	1.3454	1.3364	1.2818	1.177	1.4538	1.3574	1.3595	1.1653	1.8497	1.4676
ABR	0.4167	0.361	0.2817	0.3753	0.2511	0.3919	0.2356	0.4364	0.4943	0.5296	0.2764	0.2248	0.3478	0.2133	0.317	0.4527	0.5398	0.4942	0.4447	0.4933	0.7633	0.5559	0.3504	0.707	1.6982	0.6698
ABRACL	0.4279	0.8185	0.259	0.7875	0.3973	0.2737	0.2195	0.2796	0.3232	0.3326	0.4396	0.5671	0.5091	0.443	0.4175	0.4044	0.582	0.5142	0.4412	0.3751	0.4828	0.4243	0.2592	0.2787	0.9011	0.6546
ABT1	0.2764	0.2254	0.2017	0.1939	0.229	0.3537	0.1539	0.2681	0.3268	0.2754	0.2641	0.2416	0.3952	0.1995	0.2062	0.1724	0.1531	0.2172	0.2121	0.2126	0.1819	0.1767	0.1647	0.1237	0.2728	0.3664
ABTB1	0.0036	0.0738	0.175	0.0412	0.0292	0.0312	0.0261	0.0107	0.0648	0.024	0.0486	0.0179	0.0824	0.012	0.0182	0.0236	0.0181	0.0223	0.0186	0.0396	0.0237	0.0537	0.1429	0.0161	0.055	0.0192
ABTB2	0.011	0.0235	0.0751	0.1176	0.084	0.4296	0.1645	0.2832	0.0823	0.0334	0.0229	0.0259	0.0313	0.0209	0.0794	0.0636	0.0474	0.0306	0.1582	0.0279	0.155	0.0346	0.1702	0.0997	0.263	0.026
ACAA1	0.1918	0.3022	0.1684	0.5186	0.1658	0.2375	0.1598	0.2743	0.3001	0.1842	0.1619	0.2036	0.2025	0.136	0.0908	0.1266	0.1134	0.1344	0.1301	0.1567	0.1952	0.1554	0.1868	0.1402	0.3161	0.1687
ACAA2	0.3513	0.3671	0.2972	0.3648	0.4231	0.4239	0.3816	0.57	0.7494	0.4858	0.39	0.4353	0.4231	0.4886	0.3171	0.261	0.2157	0.1745	0.1576	0.1408	0.2295	0.197	0.1905	0.1514	0.3595	0.2499
ACACA	0.5553	0.4011	0.3164	0.3301	0.7227	0.4207	0.465	0.5313	0.7719	0.4717	0.3532	0.3168	0.4226	0.357	0.2656	0.3526	0.5259	0.4768	0.313	0.2367	0.8002	0.4402	0.5118	0.6504	0.8643	0.6224
ACACB	0.2081	0.3444	0.2921	0.4901	0.6442	0.4063	0.4528	0.2996	0.3354	0.547	0.2719	0.203	0.5549	0.3404	0.244	0.2153	0.2127	0.2201	0.2673	0.1942	0.3726	0.236	0.7766	0.178	0.4002	0.2398
ACAD10	0.0133	0.0209	0.0873	0.0877	0.0651	0.0701	0.1106	0.0822	0.1045	0.0689	0.0432	0.0622	0.0781	0.0356	0.0753	0.0701	0.0393	0.0508	0.061	0.0838	0.1276	0.0478	0.0833	0.064	0.1181	0.0402
ACAD11	0.1405	0.3625	0.1125	0.2061	0.2423	0.1517	0.1718	0.3092	0.213	0.1455	0.2212	0.1541	0.3349	0.1246	0.1296	0.1011	0.1867	0.0822	0.1106	0.0901	0.1328	0.0899	0.0998	0.1485	0.1931	0.1251
ACAD8	0.1983	0.2437	0.1232	0.1821	0.2314	0.1585	0.1477	0.2759	0.2162	0.2408	0.2254	0.1741	0.2323	0.148	0.1212	0.1939	0.159	0.1119	0.1083	0.1531	0.2139	0.2732	0.1457	0.1946	0.389	0.2125
ACAD9	0.1184	0.1765	0.124	0.1863	0.1219	0.1256	0.1256	0.0965	0.1361	0.158	0.1698	0.1488	0.2292	0.1159	0.1279	0.064	0.091	0.1472	0.0767	0.0866	0.1017	0.1053	0.1296	0.0865	0.134	0.1149
ACADL	1.5099	1.6593	2.7462	1.5724	2.1925	1.603	1.2975	1.6592	1.742	1.567	1.4638	1.6604	1.7516	1.3091	1.0669	1.2248	1.3572	1.3682	1.2503	1.1223	1.6606	1.9902	1.4987	1.1977	2.0286	2.1361
ACADM	0.7935	0.5384	0.454	0.6299	0.5793	0.5933	0.4775	0.6247	0.7521	0.5635	0.5062	0.6082	0.8606	0.4349	0.433	0.5653	0.6398	0.4324	0.3427	0.5639	0.5746	0.5239	0.385	0.3886	0.6833	0.763
ACADS	0.2385	1.034	0.3892	0.4432	0.4029	0.4424	0.4156	0.8359	1.6606	0.5483	0.4189	0.4072	0.3672	0.2608	0.2217	0.249	0.4696	0.8717	0.4623	0.2838	0.3667	0.5324	0.7374	0.4389	0.549	0.3643
ACADSB	0.047	0.0963	0.0487	0.102	0.0528	0.1167	0.1335	0.2202	0.1933	0.1038	0.0795	0.0512	0.1632	0.0862	0.0395	0.0858	0.1321	0.0391	0.0806	0.0955	0.174	0.0836	0.2857	0.1359	0.2173	0.0469
ACADVL	0.5013	0.6554	0.4885	0.676	0.3745	0.4493	0.3561	0.5139	0.564	0.5613	0.4486	0.2596	0.4507	0.2854	0.217	0.2443	0.3218	0.2314	0.2345	0.2077	0.3571	0.2633	0.4381	0.3579	0.4691	0.3993
ACAN	0.3954	0.7019	1.6934	2.0287	3.593	0.8052	1.1538	0.7835	0.7818	0.7859	1.3068	0.9088	0.7443	0.5849	0.5376	0.6116	0.67	0.7123	0.6156	0.5815	0.777	1.5222	0.7267	0.6149	0.9409	0.6628
ACAP1	0.0081	0.0524	0.0244	0.0806	0.2016	0.0693	0.0293	0.1516	0.4303	0.0446	0.1654	0.0514	0.1186	0.0255	0.0209	0.0252	0.0738	0.0483	0.0395	0.0365	0.1426	0.1049	0.0622	0.0324	0.2304	0.0637
ACAP2	0.4409	0.6658	0.6992	0.5677	0.3306	0.4073	0.3899	0.549	0.3859	0.369	0.3076	0.3179	0.3378	0.2435	0.2229	0.3824	0.2981	0.2903	0.2215	0.2449	0.4059	0.3346	0.3052	0.2876	0.8045	0.4608
ACAP3	0.0785	0.1601	0.1207	0.0814	0.1707	0.1309	0.2276	0.0887	0.1702	0.0842	0.1399	0.0957	0.0763	0.1236	0.0774	0.181	0.2167	0.1091	0.126	0.1955	0.1085	0.1065	0.135	0.1414	0.1502	0.1684
ACAT1	0.4677	0.6961	0.4826	0.3391	0.329	0.4102	0.2516	0.3103	0.386	0.3635	0.3161	0.2329	0.3386	0.2827	0.2152	0.2582	0.3209	0.3264	0.2663	0.2402	0.3944	0.2548	0.4324	0.3256	0.8679	0.6867
ACAT2	1.901	1.2354	1.0686	1.01	1.1257	1.4361	0.929	1.9707	1.7127	1.5163	1.3734	2.1597	2.069	2.0006	0.8054	1.1444	1.721	1.4393	0.81	0.7609	1.1106	0.8918	0.8577	0.7481	1.54	2.885
ACBD3	0.3671	0.3556	0.3781	0.4619	0.3283	0.3153	0.2548	0.3187	0.35	0.2447	0.2572	0.1933	0.3767	0.2063	0.1537	0.2561	0.2951	0.211	0.2831	0.2351	0.6173	0.3252	0.3294	0.2343	0.59	0.3003
ACBD4	0.7753	1.4499	0.9989	1.0731	1.0093	1.0938	0.8107	2.7083	1.7814	1.003	0.9575	1.0824	1.6814	0.8208	1.2097	1.2801	0.9414	0.8827	0.8964	0.7962	1.0277	0.9618	0.9406	0.8144	1.363	0.9944
ACBD5	0.3622	0.3494	0.2292	0.3256	0.7181	0.4677	0.3403	0.4901	0.6918	0.3906	0.2654	0.2987	0.3172	0.188	0.1455	0.1889	0.3769	0.3913	0.4321	0.2148	0.3226	0.355	0.5504	0.1643	0.6708	0.3494
ACBD6	0.336	0.2605	0.2869	0.227	0.5087	0.2574	0.1787	0.2877	0.3656	0.28	0.2613	0.2132	0.4839	0.182	0.1759	0.2131	0.2083	0.2237	0.2369	0.2433	0.2383	0.2095	0.1883	0.1881	0.4589	0.4146
ACBD7	0.1032	0.1259	0.1165	0.1556	0.3771	0.6704	0.327	0.3122	0.181	0.2467	0.2496	0.2392	0.2547	0.2423	0.1712	0.07	0.1707	0.0698	0.1375	0.0716	0.1254	0.0969	0.1265	0.0698	0.1402	0.0928
ACCS	0.085	0.2901	0.2365	0.8344	0.2166	0.2192	0.3113	0.4699	0.1794	0.3405	0.4418	0.158	0.1709	0.1184	0.3786	0.3313	0.3933	0.3065	0.2448	0.1471	0.1864	0.1756	0.2209	0.3808	0.2968	0.1828
ACD	0.1441	0.2127	0.1271	0.1155	0.2425	0.1203	0.0923	0.1311	0.1326	0.2451	0.147	0.1725	0.3532	0.1749	0.1261	0.1769	0.2042	0.1616	0.1146	0.1923	0.1987	0.1945	0.1239	0.2318	0.1608	0.1634
ACE	0.0738	15.7472	2.0636	0.4228	0.3614	0.4334	0.263	0.1899	0.3518	0.3777	0.2826	0.2175	0.3387	0.2628	0.2358	0.5592	0.3161	0.3331	0.3217	0.3028	0.3798	0.3571	0.3919	0.2985	0.5238	0.4778
ACER2	0.372	1.3638	0.8708	0.831	0.7767	0.7942	1.1703	0.5863	0.8454	0.7638	2.8964	1.0776	0.7772	0.5931	2.0809	0.6201	0.6656	0.6571	0.6667	0.6386	0.8232	0.7153	2.0804	0.6224	1.0163	0.6866
ACER3	0.213	0.2293	0.1655	0.5086	0.3029	0.4561	0.2311	0.2985	0.2128	0.1615	0.1953	0.1744	0.1652	0.14	0.1948	0.1435	0.2279	0.1654	0.1977	0.1375	0.1664	0.1451	0.3302	0.2749	0.2507	0.1853
ACHE	0.0113	0.0282	0.0322	0.0727	0.1057	0.062	0.0477	0.0392	0.1128	0.0919	0.0288	0.0311	0.0977	0.0708	0.0203	0.0234	0.0346	0.0378	0.1262	0.1199	0.4377	0.2672	0.1546	0.1296	0.3574	0.2454
ACIN1	1.1368	0.849	0.6762	0.9926	1.0032	0.8564	1.0301	0.9824	0.8689	0.6876	0.7517	0.8077	0.8377	0.7514	0.6914	0.9828	0.7461	0.605	0.7613	0.6155	0.848	0.665	0.7784	0.8141	0.9969	0.7865
ACKR1	0.0617	0.2186	0.1167	0.198	0.285	0.1805	0.2389	0.2886	0.2304	0.4125	0.1116	0.174	0.3202	0.1425	0.0757	0.1954	0.4435	0.2595	0.3547	0.1208	0.2806	0.1442	0.1822	0.2867	0.2556	0.513
ACKR2	0.3804	0.8556	1.868	0.8145	0.8648	0.9038	0.6985	0.6696	0.9217	0.8855	1.9896	0.6487	0.8218	0.7273	0.6299	0.7057	5.0321	0.7695	0.7503	0.6862	0.9185	0.7802	0.8206	1.8178	1.0441	0.7398
ACKR3	0.2	0.2255	0.1255	0.1634	0.2476	0.3848	0.3602	0.4543	0.2505	0.4095	0.3368	0.4383	0.5531	0.2268	0.2738	0.1334	0.1768	0.1227	0.1163	0.1388	0.174	0.1069	0.1313	0.0928	0.2339	0.1974
ACKR4	0.2833	1.0296	1.0102	0.7277	0.6252	0.7204	0.4715	0.8748	1.2886	0.6272	1.0331	0.4511	1.1197	0.492	0.447	0.4855	0.5763	0.5694	0.5478	0.5043	1.4548	0.6231	1.6969	2.0116	0.8555	1.0016
ACLY	1.648	1.1767	0.928	0.8776	1.0552	1.0819	0.8114	1.1478	1.1299	1.0293	0.9326	0.9057	1.2143	0.992	0.9868	1.0058	1.083	0.8958	0.8017	0.6252	1.0214	0.7384	0.7998	0.7312	1.6294	2.3281
ACN9	0.2991	0.2745	0.2614	0.1824	0.2548	0.2993	0.2517	0.3043	0.3201	0.2949	0.2642	0.3463	0.4259	0.2951	0.2303	0.1886	0.1897	0.1733	0.213	0.1303	0.2002	0.153	0.1558	0.1304	0.297	0.2698
ACO1	0.0964	0.1165	0.1816	0.1041	0.1943	0.1895	0.0676	0.1479	0.1173	0.1654	0.091	0.1228	0.1307	0.0673	0.0683	0.095	0.152	0.1071	0.0613	0.0563	0.0823	0.0697	0.0741	0.1233	0.1229	0.0954
ACO2	0.5247	0.4973	0.3966	0.3418	0.4351	0.4332	0.2992	0.5767	0.4849	0.4673	0.3255	0.263	0.3699	0.2653	0.2062	0.2898	0.2631	0.3016	0.243	0.2452	0.545	0.3352	0.3134	0.3042	0.5755	0.5494
ACOT1	0.0188	0.0352	0.0807	0.0927	0.0654	0.1648	0.0399	0.1074	0.1533	0.0509	0.0675	0.0286	0.1017	0.0381	0.0161	0.0258	0.1285	0.0714	0.0413	0.0636	0.1079	0.0559	0.0839	0.0356	0.1993	0.065
ACOT11	0.958	1.3582	2.1485	1.2481	1.2575	1.387	1.1215	2.8026	2.3849	1.2698	1.2094	1.0371	1.3062	1.1125	1.8001	1.0571	1.1194	1.1174	1.0311	1.0049	1.2799	1.133	1.1995	1.0712	1.6689	1.2439
ACOT13	0.3217	0.352	0.4599	0.2938	0.2207	0.2886	0.2342	0.4396	0.4775	0.2965	0.3232	0.4885	0.5249	0.2436	0.2645	0.1753	0.289	0.1596	0.1593	0.1423	0.2323	0.2173	0.1817	0.165	0.3023	0.2491
ACOT2	0.027	0.0445	0.0948	0.1959	0.0807	0.1037	0.0359	0.0644	0.0573	0.0657	0.0319	0.0731	0.1017	0.0826	0.0426	0.0611	0.1403	0.0366	0.0571	0.1167	0.104	0.0595	0.0969	0.0415	0.2281	0.0415
ACOT4	0.784	1.1835	3.3168	1.2181	1.1427	1.2125	1.033	1.3039	1.2178	1.1424	1.7876	0.9362	1.2028	0.9185	1.4893	0.9337	1.0182	1.0158	0.953	0.9202	1.1644	2.1759	1.0796	0.8814	1.4102	1.1039
ACOT7	0.6455	0.4489	0.3676	0.4635	0.5411	0.4668	0.3281	0.4215	0.5058	0.4577	0.3956	0.3876	0.6872	0.421	0.3278	0.6217	0.8252	0.6737	0.83	1.2803	0.9222	1.2113	0.8032	0.4562	2.4307	1.6992
ACOT8	0.1009	0.1358	0.1122	0.0921	0.2556	0.0999	0.1186	0.1577	0.1943	0.1768	0.2133	0.0597	0.1002	0.0614	0.0991	0.0952	0.17	0.2362	0.0817	0.1149	0.2454	0.1328	0.08	0.0964	0.3005	0.2418
ACOT9	0.1276	0.7246	0.4496	0.2136	0.1771	0.1905	0.1568	0.1982	0.2115	0.1616	0.1451	0.1622	0.2354	0.1495	0.1751	0.0898	0.0949	0.0844	0.0798	0.0651	0.128	0.1866	0.2	0.1287	0.2256	0.2018
ACOX1	0.2815	0.4211	0.2608	0.2616	0.366	0.4565	0.3744	0.5389	0.4185	0.2627	0.2736	0.1734	0.2467	0.1571	0.178	0.2369	0.1617	0.2045	0.3137	0.1267	0.4968	0.3491	0.2858	0.1964	0.4095	0.2904
ACOX2	0.5572	0.7964	0.9798	0.8604	1.7303	0.9006	0.6621	1.9118	2.5283	1.429	0.7428	0.5788	0.8852	0.6716	0.5629	0.6337	0.7139	0.6921	0.6785	1.1887	0.8114	1.3789	0.8394	1.1515	1.0866	0.7255
ACOX3	0.0315	0.1727	0.0695	0.1292	0.0991	0.2371	0.1036	0.173	0.0461	0.0745	0.065	0.0663	0.1349	0.0743	0.0253	0.103	0.0496	0.1034	0.0635	0.0659	0.0811	0.0755	0.1124	0.1193	0.2733	0.0997
ACOXL	0.4602	0.8732	1.1745	0.8807	0.8994	0.9942	0.7586	0.7265	0.9293	1.8682	0.8389	0.6955	0.9817	1.3778	0.6538	0.7101	0.7766	0.7679	0.7815	1.8486	2.034	0.8193	2.2717	0.718	1.0965	0.8054
ACP1	1.6318	1.0886	0.9249	0.8894	0.8923	1.0697	0.7712	1.16	1.15	0.9784	1.2024	1.2309	1.5803	1.4001	1.0448	0.8026	1.0139	0.776	0.707	0.7083	0.936	0.793	0.7499	0.6394	1.293	1.3236
ACP2	0.1273	0.3333	0.1053	0.2048	0.1051	0.236	0.223	0.1616	0.2909	0.2059	0.1617	0.1161	0.1823	0.147	0.0934	0.1094	0.1488	0.129	0.1026	0.1063	0.1152	0.0957	0.1251	0.1132	0.1765	0.1932
ACP5	0.4668	0.7566	1.126	2.1456	1.3565	0.7518	0.6071	1.439	0.7863	1.4454	0.7073	0.576	0.8358	0.601	0.5357	0.6043	0.6741	1.6004	0.6949	0.6055	0.8228	0.6951	0.7837	2.2178	1.0532	1.1186
ACP6	0.326	0.7609	0.3044	0.5681	0.5024	0.8026	0.3409	0.9195	0.6857	2.5302	0.9156	0.7645	0.4549	0.5287	0.4192	0.464	0.3932	0.413	1.0088	0.6544	0.8228	0.4281	0.5194	0.3738	0.6953	0.45
ACPP	0.3359	0.7071	1.6756	5.5367	0.7037	0.7501	0.5549	0.8165	1.2525	0.7378	0.6283	0.5359	1.3778	0.578	0.5119	0.5668	1.4471	0.6226	0.5815	0.5872	0.6933	0.6824	0.6895	1.358	0.8925	0.6399
ACRBP	0.2328	0.6098	0.7867	2.2448	0.4785	0.9123	0.3475	0.341	0.7134	0.4333	0.6514	0.6234	0.7141	0.3444	0.2829	0.3271	0.3747	0.3984	0.6379	1.2934	0.4573	0.8792	0.489	1.1139	0.6388	0.7097
ACRC	0.707	0.9558	1.2606	0.9826	0.9913	1.0108	0.7176	1.8999	1.4184	0.9935	0.8486	1.427	0.9823	0.7331	1.6613	1.1129	0.834	0.8306	1.2773	0.7184	0.9652	0.8408	0.898	0.726	1.2129	1.1707
ACSBG1	0.0055	0.0432	0.1519	0.0629	0.1095	0.2784	0.1839	0.4363	0.1489	0.0358	0.025	0.0302	0.031	0.0201	0.0185	0.0202	0.0297	0.0376	0.0315	0.0329	0.0813	0.0384	0.0561	0.0598	0.0825	0.0324
ACSBG2	0.4204	0.9119	1.3749	2.7858	0.8861	0.9729	0.8049	0.8084	0.987	0.9236	0.8111	0.7814	0.9714	0.7295	0.7033	0.7692	0.8449	0.8528	2.2853	0.7381	0.9606	0.7765	2.5362	0.7407	1.0811	0.8148
ACSF2	0.0367	0.1197	0.085	0.4379	0.1088	0.2029	0.0567	0.2187	0.1426	0.2406	0.2621	0.0851	0.2345	0.1624	0.0652	0.0728	0.1672	0.085	0.0856	0.0739	0.0928	0.0973	0.1298	0.0649	0.195	0.1342
ACSF3	0.0178	0.0565	0.0342	0.0486	0.0663	0.1082	0.0455	0.0289	0.1816	0.053	0.0233	0.0594	0.0774	0.0541	0.0343	0.0319	0.0551	0.0283	0.0408	0.0244	0.0545	0.031	0.0436	0.0723	0.1265	0.0635
ACSL1	0.0147	0.1026	0.0178	0.1849	0.0403	0.0441	0.0308	0.0197	0.1065	0.0618	0.0386	0.0553	0.0907	0.0477	0.0814	0.1407	0.1268	0.0558	0.1322	0.0548	0.2724	0.1754	0.2185	0.2681	0.2374	0.1037
ACSL3	0.848	0.9838	0.6321	0.5526	0.6269	0.69	0.4436	0.6181	0.7988	0.5311	0.4738	0.4226	0.6051	0.472	0.3406	0.4412	0.5237	0.3813	0.5966	0.5399	0.8329	0.4391	0.6821	0.6371	0.753	0.6763
ACSL4	0.2577	0.2752	0.2756	0.2247	0.1787	0.1913	0.1601	0.2144	0.2122	0.1798	0.1788	0.1745	0.2105	0.1563	0.1464	0.2706	0.537	0.295	0.442	0.4793	0.8384	0.5383	0.6767	0.7202	0.9658	1.252
ACSL5	0.0771	6.456	0.2022	5.1561	0.3622	0.4204	1.0992	0.1982	0.3391	0.3978	0.3089	0.2363	0.3421	0.2687	0.2388	0.235	0.3281	0.8758	0.3041	2.5	0.3795	0.3596	0.4388	0.3078	1.5372	0.5276
ACSL6	0.0194	0.0642	0.042	0.1225	0.1392	0.2655	0.2195	0.178	0.1482	0.0418	0.0278	0.0269	0.0339	0.0344	0.0416	0.0598	0.1137	0.1867	0.1589	0.0893	0.4608	0.1118	0.4007	0.3086	0.4221	0.102
ACSM1	0.5354	1.0618	7.7392	1.0056	1.0334	1.0841	0.918	0.9695	1.0324	1.0544	0.9518	0.8874	1.0962	0.8964	0.7809	0.8884	0.9445	0.8773	0.9196	0.8396	1.0771	0.949	0.9262	0.848	1.2187	1.0049
ACSM2A	0.3345	0.7197	0.5446	0.7909	0.8001	0.8304	0.637	1.4213	0.7905	0.7695	1.3431	0.5711	0.7912	1.2807	0.5687	1.2207	0.6947	1.7367	1.602	0.6178	0.7685	0.7011	0.7639	0.5988	2.5921	0.6997
ACSM2B	0.275	0.69	0.567	0.5691	0.5219	0.5829	0.6359	0.4384	0.8958	0.5203	0.6609	0.4949	0.4969	0.3719	0.9016	0.5868	0.4695	0.4646	0.4103	1.3859	0.9875	0.4772	4.2632	1.2312	0.7096	0.6031
ACSM4	0.7734	1.0607	0.8737	1.1276	1.0816	1.1433	0.8622	1.2304	1.122	1.0255	0.9967	1.2834	1.1675	0.9277	0.8368	1.5146	0.9869	1.9221	0.9106	0.8364	1.08	1.0662	1.0342	3.7931	1.3588	1.5458
ACSM5	0.3048	1.3349	0.5263	0.7624	0.7359	0.7603	0.5696	0.5488	0.7335	1.8329	0.6382	0.5127	0.7323	0.551	0.4936	0.5705	1.4387	0.6332	1.4808	1.5617	0.7074	0.6668	1.9601	0.5872	2.5207	0.6183
ACSM6	0.6283	1.1165	0.8646	1.1825	1.0789	1.0828	1.6803	1.4264	1.1277	1.0407	0.9738	0.8933	1.1337	1.7506	0.836	0.8605	1.0122	0.9334	0.935	0.85	1.1227	0.9285	1.0276	1.8562	3.4209	1.0392
ACSS1	0.0456	0.3408	0.1054	0.284	0.3033	0.5679	0.3411	0.5091	0.7174	0.7701	0.0671	0.1448	0.1666	0.0957	0.0818	0.0416	0.1221	0.0655	0.0542	0.0555	0.0764	0.0733	0.0641	0.06	0.0978	0.0502
ACSS2	0.0142	0.0528	0.1305	0.0575	0.1192	0.0922	0.0529	0.133	0.1047	0.0622	0.0239	0.0693	0.0509	0.0515	0.0265	0.0312	0.0765	0.0334	0.0274	0.0545	0.0644	0.0354	0.0432	0.0241	0.1527	0.0556
ACSS3	1.0638	1.2082	0.9752	1.0627	1.0401	1.4542	0.8155	1.4248	1.3033	1.2854	2.1605	0.828	1.0983	0.9752	0.8427	0.7415	1.0752	0.8879	0.8056	1.057	1.0182	0.8704	0.9945	0.7501	1.402	1.5215
ACTA1	0.1223	0.1922	0.139	0.3201	0.1092	0.1538	0.1187	0.0996	0.1123	0.1586	0.12	0.102	0.2226	0.1481	0.0707	0.2265	0.3148	0.0897	0.113	0.0847	0.1386	0.0935	0.103	0.0644	0.4706	0.1767
ACTA2	0.2912	0.5163	5.5968	0.6223	0.5948	2.5882	0.4229	0.4669	0.9371	1.0967	0.7911	0.3773	0.5477	0.4152	0.635	0.4173	0.4719	0.4966	0.4608	0.4341	0.5607	0.5246	0.602	0.4289	0.7993	0.8603
ACTB	35.8672	32.3086	20.4011	25.5426	22.9978	20.0737	15.7995	22.3292	22.9168	19.2236	18.4001	16.1536	24.9033	17.2017	12.9791	18.3023	16.5729	14.8681	13.4489	11.7081	19.6301	15.1208	14.9001	12.7798	26.4605	22.3831
ACTBL2	0.6677	1.1459	1.5149	1.0488	1.0976	1.1729	0.9369	0.9675	2.4578	1.1434	1.0529	0.9194	1.1854	0.9296	1.7801	0.9199	1.0277	0.9398	0.9466	2.0381	1.082	1.0136	0.9902	0.9407	1.3218	1.0815
ACTC1	0.0289	0.0608	0.0429	0.1263	0.0557	0.1054	0.0376	0.0704	0.0846	0.0686	0.1033	0.0712	0.1383	0.085	0.226	0.3318	0.1401	0.0397	0.1167	0.0944	0.0456	0.0406	0.0582	0.0474	0.1592	0.0822
ACTG1	48.6166	31.7517	26.2433	23.9553	24.6949	26.7407	21.3265	30.6978	30.9284	26.184	27.321	23.1585	36.1488	26.2591	17.9462	30.5674	37.011	28.5631	20.8037	17.1065	26.976	20.76	20.1126	17.2771	35.4503	41.4562
ACTG1P4_p1	0.1562	0.1732	0.1055	0.1926	0.1768	0.12	0.1602	0.1669	0.1379	0.1737	0.0966	0.1329	0.1592	0.0896	0.098	0.2063	0.1392	0.2587	0.1424	0.1129	0.1882	0.2198	0.1138	0.2223	0.2016	0.2094
ACTG2	0.3147	0.5857	0.8547	0.5764	0.5199	0.954	0.5724	0.338	1.0972	0.7898	1.3269	0.6059	0.5234	0.5572	0.6995	0.8057	0.4324	0.4317	0.4143	0.3773	0.5047	0.4576	0.5214	0.3532	0.6943	1.5105
ACTL10	0.5141	0.9068	0.6839	0.9557	0.9126	0.9818	0.7545	1.0533	1.8296	1.8003	0.8179	1.2652	0.9924	0.7399	0.6601	0.7506	1.6951	0.8243	0.765	0.7162	0.9074	0.8173	0.8638	3.7731	1.1228	0.7986
ACTL6A	0.4962	0.3952	0.3212	0.3444	0.3593	0.3531	0.3916	0.3389	0.3672	0.3967	1.0921	0.9122	0.9368	0.7313	0.7584	0.3311	0.4882	0.3887	0.2323	0.2984	0.3213	0.2798	0.2455	0.212	0.4452	0.6267
ACTL6B	0.032	0.0449	0.0709	0.0584	0.1215	0.0512	0.033	0.0401	0.1056	0.0583	0.0503	0.0305	0.0522	0.0499	0.0677	0.1324	0.295	0.3639	0.2027	0.2719	0.4417	0.4375	0.2236	0.207	0.8607	0.3785
ACTN1	0.1234	0.5724	1.0731	0.1134	0.2884	0.1097	0.1659	0.1386	0.1484	0.2098	0.2526	0.1266	0.3686	0.2818	0.1092	0.0703	0.1086	0.1116	0.0727	0.0767	0.1192	0.2392	0.1797	0.1059	0.156	0.2237
