	Sz	mEndo	mPeric	mMgl	mEpend	mRgl3	mRgl2	mRgl1	mNProg	mNbM	mNbML2	mNbL2	mNbDA	mDA0	mDA1	mDA2	mNbML1	mNbML3	mNbL1	mNbML4	mRN	mGaba1b	mGaba1a	mGaba2	mSert	mOMTN	mNbML5
1700010I14Rik	0.0194	0.0696	0.0547	0.1373	0.2329	0.2202	0.0521	0.131	0.0857	0.0698	0.0241	0.091	0.0302	0.0453	0.1517	0.2134	0.1086	0.1823	0.0831	0.1453	0.153	0.1412	0.0488	0.1118	0.1063	0.0437	0.1073
1700010K23Rik	0.0051	0.0235	0.0407	0.031	0.1631	0.0708	0.0373	0.0159	0.0197	0.0144	0.0093	0.0264	0.013	0.0207	0.0315	0.03	0.0514	0.0554	0.0353	0.0357	0.1265	0.0487	0.0917	0.1704	0.0844	0.076	0.0148
1700011I03Rik	0.2052	0.4947	4.6122	0.6922	20.3512	0.6902	0.5304	1.1989	0.452	0.4977	0.4069	0.5329	0.4782	0.5428	0.6752	0.6252	0.561	0.6709	0.6896	1.7515	0.7057	0.5406	0.5634	0.5698	0.6164	0.6273	1.3558
1700011J10Rik	0.1301	0.1187	0.1241	0.211	0.2213	0.3127	0.2013	0.1243	0.107	0.0758	0.0648	0.117	0.0786	0.1032	0.1218	0.1519	0.1608	0.2352	0.2043	0.1348	0.1606	0.1013	0.0944	0.2043	0.1383	0.1648	0.0622
1700012B09Rik	0.3147	0.6614	0.6456	0.8215	105.9767	1.7373	1.3512	0.6968	1.1646	0.6213	0.5533	0.6737	0.5945	0.6292	0.8082	0.7252	0.6926	0.852	0.8275	0.8741	0.846	0.6775	0.71	0.7975	0.7699	0.8513	0.6454
1700012B15Rik	0.0173	0.0554	0.0637	0.0394	0.0591	0.1248	0.0524	0.0237	0.023	0.0313	0.0297	0.0471	0.0305	0.0446	0.0788	0.0706	0.0341	0.1367	0.1239	0.1157	0.1033	0.1478	0.1223	0.0857	0.1248	0.1071	0.0213
1700012D01Rik	0.2563	0.6491	0.6307	0.7839	42.3876	0.757	7.0395	0.6046	0.5642	0.579	0.5512	0.5949	0.5977	0.6209	0.7302	0.686	0.6322	0.7807	0.7553	0.7993	0.7642	0.7134	0.6717	0.7378	0.7615	0.7862	0.5659
1700012D14Rik	0.366	0.4689	0.4798	0.7267	0.7503	0.6479	0.7427	0.5388	1.0401	1.2284	0.361	0.5156	0.7413	0.9274	0.6327	0.6311	1.453	2.0322	1.3146	0.7336	0.7523	1.4359	0.9251	0.7596	0.6336	0.9721	0.4666
1700012P22Rik	0.1561	0.3896	0.3996	0.5546	10.9953	17.7208	0.4123	1.7335	0.3213	0.4053	0.3165	0.9139	0.3794	0.4244	1.4193	0.5116	0.4193	0.5701	0.5456	0.5634	0.5245	0.3885	0.4636	0.6435	0.4939	0.9224	0.413
1700013F07Rik	0.3691	0.6408	0.6726	0.8702	110.8239	1.6775	0.6673	0.686	0.9067	0.5932	0.5093	0.6451	0.614	0.6381	0.7577	0.764	0.6578	0.8462	0.8359	0.8991	0.8518	1.302	1.5842	0.7459	0.8292	0.808	0.6105
1700013G23Rik	0.1577	0.3909	0.2202	0.3672	1.7657	1.1679	0.9808	0.2399	0.2317	0.56	0.2359	0.3698	0.3152	0.2515	0.3546	0.3194	0.2286	0.8516	0.3889	0.3892	0.339	0.4123	0.7362	0.7527	0.644	0.414	0.361
1700016K19Rik	0.0073	0.0704	0.0671	0.0508	1.7219	0.1804	0.035	0.0506	0.0127	0.0475	0.0147	0.0428	0.0209	0.1023	0.1027	0.0484	0.056	0.0418	0.0561	0.0491	0.0723	0.0477	0.0327	0.1974	0.0488	0.0675	0.0246
1700017B05Rik	0.006	0.1726	0.4829	0.511	0.3881	0.1215	0.0625	0.2046	0.086	0.0234	0.0161	0.0983	0.044	0.0307	0.0496	0.0503	0.0235	0.097	0.1229	0.0485	0.0379	0.0232	0.0343	0.0283	0.0261	0.1597	0.024
1700017N19Rik	0.9038	0.9407	0.9102	1.2021	1.1228	1.1625	1.8228	1.0564	0.8359	0.8027	1.0883	1.422	0.7569	0.9119	1.1204	1.134	0.9074	1.2143	1.1547	1.3321	1.3153	1.5156	1.5233	2.5139	1.1913	3.2563	0.8377
1700018A04Rik	0.3574	28.3194	0.7713	0.9437	0.833	0.8191	0.8129	0.7911	0.7431	0.6746	0.6496	0.7878	0.6675	0.7447	0.8361	0.7774	0.7544	0.9195	0.8403	0.8827	0.9181	0.7449	0.7528	0.9074	0.8668	0.898	0.6507
1700018B08Rik	0.9524	1.292	1.1678	1.4603	1.3024	1.3492	1.1789	1.2214	1.1168	1.0702	1.5652	2.2906	0.9902	1.1046	1.3168	1.2392	1.153	1.4853	1.3656	1.5831	1.6881	1.1642	2.4034	1.5432	1.5506	1.4686	0.9907
1700018F24Rik	0.3832	0.8387	1.8682	0.9086	17.1016	0.8882	0.856	0.7889	0.67	0.7111	0.6816	1.9876	0.653	0.7724	0.8416	0.7984	0.7732	0.9637	0.8943	0.9835	0.9965	0.7774	0.8174	0.9116	0.9407	0.9727	0.7162
1700019D03Rik	0.412	0.5346	0.8722	1.3771	0.8283	1.5222	1.5082	0.6124	0.4517	0.516	0.7879	0.9425	0.4839	0.5736	1.2398	0.6903	0.5596	0.7598	0.7423	0.8495	1.3194	1.0553	1.1094	2.079	0.7234	0.724	0.5094
1700019G17Rik	0.1053	0.185	0.1292	0.4015	0.6341	0.7016	0.1978	0.2233	0.3205	0.4699	0.1546	0.5456	0.2025	0.4373	0.2176	0.3867	0.1461	0.2203	0.2557	0.4506	0.6914	0.2443	0.2839	0.1828	0.371	0.4479	0.2309
1700019L03Rik	0.3592	0.6057	0.643	0.7651	20.4263	5.1961	1.2561	1.258	0.533	0.5452	0.488	0.594	0.9647	0.594	0.7769	0.7398	0.6445	0.8015	0.7403	0.8561	0.8076	0.617	0.6897	0.7248	0.7546	1.3699	0.6009
1700020D05Rik	0.306	0.7407	0.5082	1.462	0.7421	0.6212	0.7887	0.9559	0.395	0.482	0.3753	0.9566	0.7775	0.5403	0.6178	0.6107	1.9292	0.6973	1.5239	0.7061	5.9297	0.5366	1.1417	0.583	0.6152	0.6385	0.5042
1700020I14Rik	0.1661	0.2818	0.1716	0.146	0.1325	0.2463	0.1314	0.1166	0.1313	0.0781	0.1397	0.1477	0.1103	0.1068	0.187	0.1444	0.0979	0.2299	0.1897	0.1944	0.2372	0.1283	0.1315	0.2595	0.1926	0.284	0.13
1700021F05Rik	0.5856	0.3868	0.3115	0.415	0.4079	0.3532	0.4984	0.6387	0.5694	0.2366	0.2941	0.3134	0.3946	0.3019	0.5538	0.3833	0.3957	0.7442	0.3865	0.9865	0.569	0.5672	0.4686	0.776	0.8572	1.0622	0.3639
1700021K19Rik	0.1352	0.1937	0.2172	0.14	0.2081	0.1546	0.2705	0.2201	0.0962	0.3153	0.1667	0.4456	0.119	0.2	0.4489	0.1319	0.1941	0.139	0.197	0.3054	0.2829	0.1119	0.2208	0.3941	0.2593	0.4011	0.1104
1700021N21Rik	0.47	0.7866	0.7384	0.9901	0.9505	0.8864	0.84	0.8084	0.7268	0.6941	4.317	0.7677	0.6807	0.752	0.9006	0.8912	0.759	2.0964	0.9504	1.0343	1.0508	0.7486	1.8159	0.9566	0.9821	1.7056	1.5239
1700023E05Rik	0.5176	0.8414	0.9009	1.114	2.4559	1.0458	0.8753	1.684	0.7395	0.7735	1.2939	0.8221	1.5134	0.8162	1.0416	0.9471	0.7816	1.0883	1.0288	1.098	1.2075	0.8741	0.9307	0.9898	1.7392	1.0907	1.6621
1700023F06Rik	0.7173	0.8249	0.7899	1.8935	1.1005	0.9704	1.6834	0.8625	0.6633	0.7049	0.633	1.3186	0.7041	1.3498	1.0054	1.6975	0.8096	1.6782	1.0568	1.2101	2.5819	1.2415	0.8776	2.1974	1.0284	1.0408	0.7161
1700024G13Rik	0.3822	0.8264	0.8002	0.9361	60.7463	0.8863	0.8484	0.8336	0.7204	0.6963	0.6855	0.8125	0.6905	0.8132	0.8891	0.8628	0.8215	0.967	2.6131	0.987	1.0312	0.8028	0.8436	0.9817	0.9507	1.0277	0.8027
1700024P03Rik	1.3098	1.4521	1.2485	1.762	1.4241	1.4767	1.4318	1.5009	1.3175	1.2038	1.0461	2.3576	1.0733	1.2674	1.4659	1.3184	1.3199	1.6306	1.5889	1.8312	1.8269	1.3173	1.3594	2.5836	1.6646	2.61	1.1852
1700025G04Rik	0.3347	0.255	0.2031	0.2768	0.2618	0.425	0.258	0.3561	0.385	0.5066	0.5145	0.858	0.2976	0.3543	0.3793	0.2638	0.1826	0.3841	0.3369	0.3489	0.6455	0.2555	0.3647	0.7587	0.6786	0.5825	0.3947
1700026D08Rik	0.1302	0.4997	0.3309	0.4716	31.2196	8.9589	0.5894	0.6896	0.4237	0.3358	0.2467	0.3064	0.6416	0.3351	0.406	0.4393	0.3358	0.4401	0.484	1.1877	0.4496	0.3466	1.6616	0.3519	0.3869	0.3925	0.3079
1700026L06Rik	0.4848	0.7164	0.7067	1.7225	76.0222	0.8441	1.2001	0.7842	0.979	0.6686	0.5606	0.7558	0.6192	0.7357	0.8735	0.8546	0.691	0.943	0.9039	0.9806	0.9693	0.7343	0.8166	1.2447	0.9398	1.6083	0.6587
1700027H10Rik	0.9726	1.2755	1.1705	2.5204	1.2745	1.3173	1.3067	1.1783	1.0628	0.9764	0.9774	1.099	1.0054	1.0993	1.3888	1.2621	1.1348	2.9305	1.3412	1.5392	1.6251	2.5709	1.1763	1.5623	1.4562	1.5617	1.0659
1700028E10Rik	0.9783	1.2485	1.2572	1.3262	2.2812	1.1208	1.2301	1.4426	1.3564	0.7576	0.7013	1.3878	0.7735	1.5061	1.106	1.9262	0.9014	1.2051	1.1994	1.3145	1.3371	0.9026	1.0444	1.5333	1.1937	1.6575	0.8176
1700028J19Rik	0.6185	0.8775	0.8445	1.1161	1.0272	0.9861	0.8683	0.927	1.2168	1.546	1.1939	0.9036	0.7471	0.8266	0.9907	0.9827	0.8632	1.0849	1.0614	1.1581	1.1158	1.49	0.8882	1.0536	3.1193	2.8702	0.8227
1700028K03Rik	0.5504	0.6995	1.0705	0.9465	0.8671	0.8184	1.7976	1.1745	0.821	0.6157	0.5232	0.7071	3.1581	0.6557	0.8314	0.832	1.2131	1.7253	0.9236	1.0096	1.0072	0.6845	0.7418	1.1242	1.232	0.8788	0.5757
1700028P14Rik	0.1595	0.3547	0.3664	0.5353	48.7104	12.6153	0.6817	0.408	0.5731	0.3783	0.2709	0.4204	0.3616	0.4049	0.5084	1.3405	0.4012	0.515	1.2841	0.5743	0.5237	0.4014	0.415	0.628	0.4419	0.4609	0.3744
1700029H14Rik	0.5768	1.0142	0.9756	1.2657	1.1126	1.0186	1.0144	6.0278	0.922	0.8791	0.7887	2.0428	0.8556	0.9591	1.0784	1.1158	0.9478	1.1614	1.1294	1.1598	1.2382	0.9395	1.0787	1.2174	1.1742	1.2061	0.8733
1700029I15Rik	0.4717	0.8372	0.7976	1.0383	1.0232	0.8932	0.8098	0.8064	0.687	0.7488	0.63	1.6219	0.6408	0.7706	0.8822	0.8842	0.8044	2.3476	0.9522	1.0573	1.0449	0.826	2.0237	1.5389	3.8844	0.9467	0.7356
1700029J07Rik	0.0356	0.0501	0.0993	0.0868	0.8209	0.4674	0.2029	0.0713	0.0735	0.0974	0.0624	0.1679	0.0864	0.219	0.0823	0.1366	0.0448	0.1915	0.2863	0.2481	0.1075	0.1472	0.0554	0.1452	0.1481	0.1362	0.0435
1700029M20Rik	0.5275	0.8637	0.7931	0.9889	0.9737	0.9818	1.388	0.8399	0.6951	0.668	0.6423	6.5135	0.6928	0.7355	2.2184	0.893	0.7906	1.0263	0.9336	1.0943	1.0875	0.8133	0.8793	1.446	1.8158	1.0418	0.7487
1700030C10Rik	0.1111	0.4303	0.1612	0.2644	0.3691	0.2602	0.363	0.4178	0.1628	0.2593	0.277	0.7473	0.2494	0.3607	0.479	0.2441	0.4657	0.667	0.2783	0.5175	0.2555	0.5853	0.1944	0.4379	0.4454	0.2901	0.293
1700030J22Rik	0.0094	0.0591	0.0217	0.0456	0.322	0.0508	0.0362	0.0406	0.061	0.0425	0.0143	0.1713	0.0783	0.0292	0.1722	0.1426	0.0756	0.0815	0.2527	0.0496	0.1047	0.0938	0.0624	0.1692	0.046	0.1116	0.1267
1700030K09Rik	0.0694	0.127	0.056	0.1411	0.3572	0.1442	0.1603	0.1729	0.1178	0.1273	0.1175	0.1704	0.0797	0.1904	0.1263	0.1519	0.1403	0.1233	0.0977	0.1072	0.2112	0.1407	0.0642	0.156	0.1054	0.1395	0.161
1700031A10Rik	0.8338	1.0703	0.9505	1.2589	1.1811	1.1065	1.5997	0.9788	0.8368	1.5381	1.2913	1.7527	1.4988	1.8701	1.1089	1.161	0.9741	1.2393	1.1657	1.423	1.3379	1.0037	1.0989	1.7017	1.1851	1.2797	0.8703
1700034H15Rik	1.1692	1.9949	1.6411	1.522	1.3537	1.3235	1.1984	1.1376	1.0241	0.946	0.8368	1.1413	1.3579	1.041	1.3002	1.1982	1.6817	1.4843	1.3968	1.6565	1.4982	1.6703	1.6734	1.9813	1.8642	1.7964	0.978
1700034K08Rik	0.7145	1.1379	1.0503	1.2677	1.2172	1.178	1.1481	2.495	1.022	0.9818	0.9021	2.7705	0.9276	0.9618	1.1302	1.0953	1.1038	1.2944	1.1647	1.3458	1.406	1.0087	1.1842	1.3819	1.3356	1.273	0.9047
1700037C18Rik	0.3958	0.6338	0.7038	1.0428	0.6546	0.5989	1.273	0.4986	0.48	0.6025	0.7059	0.4491	0.3897	0.4767	0.5758	1.9726	0.4432	2.5871	0.6465	0.7384	0.6324	0.4858	1.4419	1.0142	0.7786	0.7804	0.4248
1700037H04Rik	0.6195	0.3779	0.3134	0.425	0.7835	0.4575	0.7962	0.7975	0.7827	0.6199	0.5711	0.3461	0.4458	0.3083	0.6582	0.4681	0.4937	0.5476	0.924	0.6969	1.1236	0.526	0.7042	0.7353	0.7403	1.7453	0.3683
1700040L02Rik	0.5712	1.0273	1.8094	1.1743	3.1272	3.0263	1.016	1.0078	0.821	0.8582	0.8227	0.9513	0.8353	0.9274	1.0609	1.0557	0.9642	1.1807	1.132	1.2917	1.2714	0.9376	0.9756	1.2155	1.1956	1.2714	0.8735
1700042G15Rik	0.7093	0.8296	1.1344	1.1377	1.0212	0.9134	0.8532	0.8199	0.7169	0.7017	0.9473	4.1159	0.7079	0.7771	0.9583	1.6327	0.7738	1.0544	0.9854	1.1221	1.6287	0.8195	0.8201	1.2421	1.0389	1.3443	1.4618
1700042O10Rik	0.2565	0.5689	0.5764	0.7458	0.7	2.0894	0.5931	0.6458	0.9987	0.5345	0.4998	1.279	0.518	0.6183	0.6928	0.7158	0.6084	0.7081	0.7151	0.7737	0.7614	0.6296	0.6437	0.6697	27.6571	0.7043	0.5755
1700047E10Rik	0.4532	0.6737	1.363	0.8539	0.9237	1.861	1.1675	0.7169	1.474	0.618	0.4935	2.6358	0.5817	0.674	0.8248	0.7628	0.6755	0.8392	0.863	0.9858	0.8866	0.6938	0.7551	1.7646	1.3779	0.9065	0.6512
1700047I17Rik2_loc2	0.0656	0.1383	0.0766	0.1208	0.145	0.1298	0.1108	0.0859	0.0433	0.0354	0.0612	0.1013	0.0772	0.0574	0.1921	0.1882	0.1519	0.2203	0.3963	0.1258	0.2032	0.1305	0.2428	0.652	0.4734	0.3145	0.0723
1700047M11Rik	0.6633	0.9548	0.866	1.1438	1.0829	2.791	0.9568	1.9885	0.8417	1.7263	0.7862	0.9954	0.8433	0.9306	1.1074	1.022	0.9218	1.1991	1.1519	1.2665	1.3521	0.9663	1.014	1.2499	1.1315	1.2004	2.0941
1700048O20Rik	0.2559	0.1721	0.1903	0.2395	0.2562	0.275	0.1646	0.2003	0.1677	0.1652	0.2061	0.2706	0.1559	0.1654	0.2256	0.224	0.2345	0.4064	0.2995	0.4551	0.3536	0.5588	0.3219	0.4264	0.388	0.5911	0.1517
1700049G17Rik	0.0501	0.0732	0.067	0.0726	0.0965	0.2642	0.0868	0.1558	0.1342	0.0547	0.0786	0.0672	0.1866	0.1436	0.1201	0.0965	0.0613	0.1039	0.2536	0.2879	0.2956	0.1596	0.1363	0.1365	0.1549	0.1966	0.0563
1700052K11Rik	0.0345	0.1329	0.0973	0.1241	0.1912	0.1816	0.0464	0.0397	0.0688	0.081	0.0913	0.0979	0.0489	0.0985	0.1144	0.062	0.0587	0.0939	0.0722	0.1198	0.0924	0.1085	0.1094	0.129	0.1766	0.1927	0.0541
1700052N19Rik	0.1133	0.1433	0.1284	0.166	0.3203	0.1436	0.2728	0.3096	0.1346	0.1547	0.1702	0.1813	0.0711	0.0878	0.1309	0.0768	0.1638	0.1237	0.146	0.2418	0.1638	0.0861	0.1401	0.1532	0.1851	0.127	0.0739
1700061I17Rik	1.1145	1.3338	1.9742	1.6104	1.4079	1.26	1.306	1.2597	1.5765	1.0456	0.9188	2.0257	2.059	1.1402	1.3406	1.2551	1.2074	1.4792	1.4046	1.6823	2.5012	1.2436	1.2215	1.5696	1.5403	1.6157	1.1186
1700066B19Rik	0.7699	1.1274	0.7362	1.0064	0.9922	0.8833	1.3705	1.6627	0.6385	0.6458	0.552	1.0297	0.6073	0.7515	1.41	1.574	0.7228	1.0407	1.6137	1.6991	1.0616	1.0554	0.7779	1.8472	0.937	1.3486	0.6849
1700066M21Rik	0.0178	0.0535	0.0279	0.1132	0.1406	0.2111	0.1259	0.0668	0.0182	0.0314	0.0207	0.0426	0.0609	0.0236	0.0406	0.0713	0.0399	0.1666	0.079	0.2273	0.1071	0.071	0.0715	0.2023	0.0732	0.1125	0.1115
1700071K01Rik	0.6955	1.1699	1.0096	1.278	1.1297	3.0373	1.094	2.5462	1.0419	0.917	0.893	1.0685	0.9149	1.0038	1.1894	1.0913	1.0429	1.2344	1.2376	1.3314	1.3514	1.1032	1.1647	1.44	1.2539	1.3826	0.945
1700073E17Rik	0.3498	1.4192	1.8459	0.7381	0.8432	0.7255	1.0682	0.6194	0.4493	0.5335	0.4395	6.3853	0.5022	0.5757	0.715	0.684	0.5785	0.8283	0.7489	0.8094	0.7789	1.1163	0.6496	0.6607	1.2377	1.2165	0.5727
1700080N15Rik	1.6983	2.2663	1.3453	1.7982	1.6113	1.5681	1.8624	1.481	1.5325	1.2125	1.411	1.3386	1.1259	1.2633	2.5025	1.4841	1.3433	1.7497	1.6804	2.0005	2.4271	1.3761	1.4565	2.5098	2.1622	1.8363	1.1732
1700084C01Rik	0.0053	0.0684	0.0722	0.0772	0.9269	0.7318	0.7713	0.1751	0.0996	0.0337	0.0504	0.0344	0.0336	0.0518	0.0694	0.0798	0.0369	0.0642	0.0895	0.0871	0.0628	0.0419	0.0544	0.0278	0.0435	0.039	0.0917
1700084E18Rik	0.3691	0.6128	0.5844	2.8128	3.1328	0.5764	1.2643	0.601	0.3205	0.4006	0.3106	0.5816	0.6038	0.7613	1.8003	0.5434	0.725	0.6114	0.6216	0.6673	0.6237	1.0588	0.4891	0.7264	0.5388	0.7583	0.3961
1700084J12Rik	0.0089	0.0553	0.0729	0.1253	0.0718	0.0914	0.0804	0.1076	0.0332	0.0347	0.0351	0.0212	0.0535	0.0261	0.1431	0.0398	0.0433	0.039	0.0471	0.0909	0.0561	0.0613	0.1226	0.0251	0.042	0.0578	0.0879
1700085B03Rik	0.2387	0.3551	0.261	0.6225	0.4827	0.4095	0.2721	0.8263	0.9074	0.5938	0.2789	0.3945	0.241	0.4932	0.6583	0.3581	0.4488	0.6467	0.4207	0.4817	1.251	0.2754	0.5195	0.8335	0.3439	0.8293	0.4014
1700086L19Rik	0.0049	0.0116	0.0324	0.0318	0.8268	0.0875	0.054	0.0171	0.0295	0.0163	0.0107	0.0655	0.0824	0.0454	0.0686	0.1171	0.0183	0.2699	0.1407	0.0381	0.0267	0.0558	0.0708	0.089	0.0339	0.0642	0.0178
1700086O06Rik	0.0108	0.0387	0.1131	0.0451	0.0821	0.0511	0.0925	0.0662	0.0957	0.0956	0.0542	0.1114	0.0218	0.1009	0.1038	0.0926	0.0255	0.1318	0.0504	0.1046	0.0667	0.0253	0.1437	0.0604	0.0305	0.0896	0.0487
1700088E04Rik	0.0637	0.0616	0.1002	0.0758	2.8635	1.1515	0.2825	0.2384	0.0685	0.1422	0.0646	0.1192	0.0443	0.0969	0.348	0.1005	0.0726	0.2264	0.1618	0.2095	0.1793	0.1355	0.0677	0.1106	0.2609	0.1747	0.0711
1700091H14Rik	0.5079	2.3666	0.7626	0.9969	0.9915	0.8928	1.5422	0.8548	1.0989	0.681	0.6423	1.4443	0.6512	0.7656	2.0848	0.8839	0.7955	1.0809	0.9436	1.1322	1.0637	0.8416	0.8748	0.9986	0.9957	1.0522	1.5677
1700093K21Rik	1.1774	1.2205	1.2658	1.9062	1.3001	1.2018	1.2304	1.4046	1.2632	0.846	0.9748	0.9785	0.823	0.9435	1.2129	1.597	1.0089	1.2765	1.2539	1.9613	1.8267	1.3259	1.0355	2.5373	1.5829	1.3512	0.8821
1700094D03Rik	0.0191	0.1337	0.0282	0.0539	10.4974	1.2345	0.1173	0.2011	0.109	0.1263	0.0864	0.087	0.0626	0.1406	0.2223	0.1031	0.1331	0.2354	0.114	0.0598	0.1469	0.0307	0.107	0.1967	0.0744	0.1153	0.1336
1700095B22Rik	0.3216	0.6534	0.6474	0.8884	0.8455	2.1209	0.66	0.6688	0.5738	0.6032	0.4955	0.6402	5.2321	0.6759	2.1992	0.6998	0.6454	0.7474	0.8278	0.8569	0.8528	0.7236	0.7625	0.7482	1.5801	0.8061	1.6469
1700096K18Rik	0.0125	0.036	0.0522	0.1521	0.1254	0.1126	0.0594	0.0769	0.0623	0.028	0.0184	0.0871	0.0145	0.0432	0.0647	0.0321	0.0321	0.0569	0.0389	0.0364	0.0469	0.0631	0.0644	0.0347	0.0462	0.0308	0.0307
1700097N02Rik	0.2428	8.0601	0.7736	0.6201	1.694	0.5666	0.4387	0.4449	0.3424	0.8361	0.3284	0.4458	0.3929	0.4702	0.5518	0.5759	0.4778	0.5781	0.5999	0.6524	1.0222	0.4507	0.4929	1.0213	0.5124	1.4623	0.4002
1700101E01Rik	0.5534	0.8736	0.8336	2.3782	2.7999	2.7747	0.8727	1.5265	1.2676	0.7891	1.2362	0.8237	0.7194	0.7747	0.9685	0.896	0.8398	1.0492	1.0383	1.1598	1.0837	0.902	0.8947	1.0248	1.0524	1.0639	0.7724
1700101I11Rik	0.9102	1.1512	0.7716	1.1059	1.0049	1.0224	0.8553	1.149	0.6766	1.0281	0.5939	1.0302	0.9046	0.7451	0.9605	0.9485	1.1366	1.636	1.5351	1.2031	1.517	1.7242	1.2633	1.3681	1.0402	1.457	1.0358
1700102H20Rik	0.7312	1.1037	0.9776	1.2221	1.1634	1.1123	1.8273	1.0704	0.8717	0.8435	1.4254	0.9317	0.8608	0.9877	1.1024	1.0355	0.9355	1.2852	1.1463	1.3923	1.2901	0.942	2.2775	3.021	1.2411	1.2737	0.9187
1700102P08Rik	0.3805	0.7407	0.4083	1.0563	0.6722	0.5735	0.5725	0.6616	0.3421	0.3815	0.4558	0.9166	1.2651	0.4389	0.5835	0.5489	0.4284	0.602	0.5946	1.0248	0.6341	0.421	0.7017	1.964	1.3648	0.7519	0.669
1700105P06Rik	0.7061	0.8203	0.6527	1.306	0.9604	0.8595	0.9916	1.4802	1.305	0.5844	0.5167	1.0358	0.5743	1.1154	1.5392	0.7947	0.6625	1.3224	1.4944	1.0366	0.9631	0.6795	0.7363	1.5327	1.146	1.2035	0.6013
1700108F19Rik	0.6675	3.7969	0.8981	2.0383	1.1185	1.1179	0.9634	1.8211	0.7974	0.8111	0.767	0.9597	0.8242	0.9289	1.0043	1.0541	0.8997	1.2013	1.1237	1.258	1.2083	1.6261	0.988	1.1315	1.9947	1.2233	0.7932
1700109H08Rik	0.6441	0.9042	1.6614	2.1149	0.9917	0.9984	2.8138	0.9551	0.7843	0.7858	0.6962	1.6938	0.7663	0.8872	1.0088	0.9277	0.8539	2.2077	1.0918	1.2281	1.2537	0.8916	0.9334	1.5003	1.0577	1.0672	0.8054
1700110I01Rik_loc2	0.5262	0.8025	0.78	1.0436	0.9916	0.9487	2.8428	0.8413	0.6863	0.692	0.6465	1.513	0.7039	0.7829	0.8911	0.8598	0.81	2.0176	0.9452	1.035	0.9918	0.8617	1.7174	3.3119	0.9092	1.0197	0.6706
1700112E06Rik	0.4821	0.6718	0.6785	0.916	0.9144	0.7803	1.1285	1.1762	3.449	0.6284	0.5445	0.6379	0.6062	0.7081	0.8169	0.8057	0.6605	0.8721	1.7413	0.9989	0.9402	0.6772	2.6844	1.0834	0.8126	1.3877	0.6145
1700113A16Rik	0.0145	0.0333	0.0546	0.0621	0.1014	0.1293	0.1228	0.1284	0.1594	0.093	0.0355	0.0313	0.05	0.0418	0.1296	0.1964	0.0645	0.1119	0.0638	0.065	0.0518	0.0968	0.0849	0.1388	0.0999	0.1165	0.1382
1700113H08Rik	0.6308	1.0613	1.0374	1.2717	1.2407	2.8831	1.107	1.1117	3.9237	0.9578	0.8848	1.0088	0.9327	0.9737	1.1696	1.0952	0.9764	1.2131	1.1547	1.437	1.2869	1.0258	1.0955	1.2504	1.31	1.265	0.9101
1700120C14Rik	0.3726	1.3157	0.5819	0.8298	0.7768	0.7309	1.0678	0.6469	0.4912	0.5297	0.7929	1.1076	0.55	1.2537	0.7497	1.6166	1.101	0.7884	0.7482	0.8787	2.4908	0.5859	0.6489	0.6806	1.2785	1.7639	0.5563
1700120G07Rik	1.1545	2.0916	1.3645	1.6712	1.5483	1.4443	1.4172	1.4877	1.2895	1.2055	1.0976	2.4657	1.1364	1.2438	1.5233	1.4019	1.3121	1.6877	1.6057	1.8413	1.817	1.401	1.3901	2.6567	1.8221	1.7303	1.2243
1700123L14Rik	0.6213	1.0786	0.9429	1.1566	1.1087	1.0786	0.9883	0.9742	1.5835	0.8765	0.7908	5.5915	0.7922	0.9328	1.0573	1.041	0.8942	1.1378	1.076	1.2275	1.2105	0.9738	0.9286	1.9831	1.1888	1.1959	0.9168
1700123M08Rik	0.3474	0.4044	0.4251	0.7804	0.4739	0.4149	0.3691	0.6381	0.3323	0.3425	0.2438	0.4443	0.2299	0.2899	0.5142	0.3827	0.4898	0.5502	0.4322	0.6775	0.4438	0.2922	0.4491	0.7415	0.6185	0.7176	0.3754
1700123O20Rik	0.8248	0.6423	0.4048	0.6073	0.8814	0.8042	0.4864	0.5284	0.5505	0.3446	0.3294	0.4239	0.3218	0.4926	0.526	0.4611	0.6666	0.5911	0.6161	0.7564	0.7496	0.4375	0.7667	0.8161	0.6573	0.8332	0.4507
1700128F08Rik	0.6121	1.031	0.9407	1.1767	1.0414	0.9928	2.0246	0.9461	0.8889	2.1578	0.7823	0.9941	2.1586	0.9626	1.0879	0.9834	0.8992	1.1266	1.0991	1.2805	1.2333	0.9021	0.9508	1.2351	1.159	1.1717	0.8009
1810009A15Rik	0.6688	0.7619	0.6973	1.1185	1.0715	0.6692	0.9931	0.9719	1.0823	0.525	0.3723	0.3395	0.3451	0.3943	0.4789	0.3929	0.3052	0.5564	0.436	0.5143	0.593	0.3543	0.4027	0.6228	0.5611	0.6038	0.2669
1810010H24Rik	0.0851	0.1853	0.1345	0.2325	1.7584	0.4539	0.2913	0.2166	0.2188	0.1257	0.0967	0.299	0.1106	0.1538	0.4028	0.2106	0.1288	0.5632	0.4553	0.6944	0.6018	0.2268	0.2987	0.4721	0.1679	0.3492	0.3773
